班级,星期,节次,课程,教室,教师,周次
土木3234,周五,5-6节,智能建造导论,1-304,阳桥,1-5
土木3241,周一,1-4节,平法施工图识图实训,机房232,吴秀丽,17
土木3241,周一,3-4节,建筑结构鉴定与加固,2-207（智慧教室）,杨丽平,11-15
土木3241,周一,3-4节,建筑结构鉴定与加固,1-202,杨丽平,16
土木3241,周一,5-6节,房屋建筑学Ⅱ,2-207（智慧教室）,罗刚,1-6
土木3241,周一,5-6节,建筑力学Ⅲ,实114,朱红玉,8-9
土木3241,周一,5-8节,结构构造与平法施工图Ⅰ,实524,吴秀丽,7
土木3241,周一,5-8节,结构构造与平法施工图Ⅰ,实523,吴秀丽,12
土木3241,周一,7-8节,混凝土结构基本原理（建工）Ⅰ,1-105,邹思敏,1-6,8-10
土木3241,周二,1-2节,工程测量与无人机应用,2-106,陈小杰,7-12
土木3241,周二,3-4节,工程测量与无人机应用,实111,陈小杰,李琳,7-10
土木3241,周二,3-4节,工程测量与无人机应用,实111,陈小杰,11-12
土木3241,周二,5-6节,土力学,实524,罗刚,5-7
土木3241,周二,5-6节,低空智能技术与AI工程应用,2-107,陈小杰,11-15
土木3241,周二,5-6节,低空智能技术与AI工程应用,实514,陈小杰,16
土木3241,周二,5-8节,平法施工图识图实训,机房232,吴秀丽,17
土木3241,周二,7-8节,建筑力学Ⅲ,2-207（智慧教室）,朱红玉,1-12
土木3241,周三,1-2节,大学英语 Ⅳ (一）,1-106,程威,1-8
土木3241,周三,1-4节,平法施工图识图实训,机房232,吴秀丽,17
土木3241,周三,3-4节,结构构造与平法施工图Ⅰ,实523,吴秀丽,1-6,8-11
土木3241,周三,3-4节,建筑力学Ⅲ,2-207（智慧教室）,朱红玉,7
土木3241,周三,7-8节,土力学,2-204（智慧教室）,罗刚,1-4,8
土木3241,周三,7-8节,基础工程(建工),3-102,杨丽平,9-16
土木3241,周四,1-2节,混凝土结构基本原理（建工）Ⅰ,实523,李琳,3,8
土木3241,周四,1-2节,低空智能技术与AI工程应用,2-107,陈小杰,11-15
土木3241,周四,1-2节,低空智能技术与AI工程应用,实514,陈小杰,16
土木3241,周四,1-4节,平法施工图识图实训,实523,吴秀丽,17
土木3241,周四,3-4节,建筑力学Ⅲ,2-207（智慧教室）,朱红玉,1-6,10-12
土木3241,周四,5-6节,房屋建筑学Ⅱ,2-207（智慧教室）,罗刚,1-6
土木3241,周四,5-6节,建筑结构鉴定与加固,2-207（智慧教室）,杨丽平,11-15
土木3241,周四,5-6节,建筑结构鉴定与加固,1-202,杨丽平,16
土木3241,周四,5-8节,混凝土结构基本原理（建工）Ⅰ,实112,李琳,7
土木3241,周四,7-8节,混凝土结构基本原理（建工）Ⅰ,2-302,邹思敏,1-2,4-6,9-10
土木3241,周五,1-2节,结构构造与平法施工图Ⅰ,实523,吴秀丽,1-6,8-11
土木3241,周五,3-4节,土力学,2-207（智慧教室）,罗刚,1-8
土木3241,周五,3-4节,基础工程(建工),2-404,杨丽平,9-13,15-16
土木3241,周五,3-4节,基础工程(建工),实514,杨丽平,14
土木3241,周五,5-6节,工程测量与无人机应用,2-106,陈小杰,7-12
土木3241,周五,7-8节,工程测量与无人机应用,实111,陈小杰,李琳,7-9
